"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Address","Cross.Street","Location","Zip.Codes","Census.Tracts","Precinct.Boundaries","LA.Specific.Plans","Council.Districts","Neighborhood.Councils..Certified."
"318669",131509647,"2013-04-19T00:00:00.000","2013-04-19T00:00:00.000",1035,15,"N Hollywood",1503,997,"TRAFFIC COLLISION","3037 3026 3701 4015 0605 3004 3101 3401",68,"F","W",101,"STREET","SHERMAN                      WY","LAUREL CANYON                BL","{'longitude': '-118.3965', 'latitude': '34.2006'}",8888,NA,495,NA,5,14
"406958",110809533,"2011-05-06T00:00:00.000","2011-05-06T00:00:00.000",1015,8,"West LA",801,997,"TRAFFIC COLLISION","",34,"F","O",101,"STREET","PALISADES                    DR","PALISADES                    CR","{'longitude': '-118.5682', 'latitude': '34.0921'}",25066,2332,1525,NA,10,NA
"372332",121706050,"2012-02-09T00:00:00.000","2012-02-09T00:00:00.000",900,17,"Devonshire",1723,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701",30,"M","W",101,"STREET","DEVONSHIRE                   ST","DE SOTO                      AV","{'longitude': '-118.5885', 'latitude': '34.2572'}",4284,99,236,4,2,43
"324218",130406467,"2013-03-05T00:00:00.000","2013-03-05T00:00:00.000",1800,4,"Hollenbeck",478,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3025",26,"F","H",101,"STREET","WHITTIER                     BL","LORENA                       ST","{'longitude': '-118.1985', 'latitude': '34.0267'}",23441,525,957,NA,9,38
"11640",190405284,"2019-01-31T00:00:00.000","2019-01-31T00:00:00.000",200,4,"Hollenbeck",471,997,"TRAFFIC COLLISION","3101 3401 3701 3011 3030",99,"M","W",101,"STREET","JESSE","MISSION","{'longitude': '-118.2252', 'latitude': '34.0366'}",23441,535,953,NA,9,38
"10084",190405746,"2019-02-11T00:00:00.000","2019-02-11T00:00:00.000",1400,4,"Hollenbeck",448,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3034",32,"F","H",101,"STREET","LANCASTER","EVERGREEN","{'longitude': '-118.1938', 'latitude': '34.0581'}",23450,508,335,NA,9,NA
"113014",172109842,"2017-04-26T00:00:00.000","2017-04-25T00:00:00.000",2040,21,"Topanga",2156,997,"TRAFFIC COLLISION","3004 3036 3034 3026 3101 3401 3701 4026",31,"F","W",101,"STREET","CANOGA                       AV","OXNARD                       ST","{'longitude': '-118.5975', 'latitude': '34.1793'}",19347,298,434,2,4,49
"381718",111521219,"2011-11-23T00:00:00.000","2011-11-23T00:00:00.000",1545,15,"N Hollywood",1525,997,"TRAFFIC COLLISION","",47,"M","W",101,"STREET","LAUREL CANYON","VICTORY","{'longitude': '-118.3965', 'latitude': '34.1867'}",8889,189,495,NA,5,13
"154640",161114348,"2016-08-04T00:00:00.000","2016-08-03T00:00:00.000",340,11,"Northeast",1112,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030",NA,"M","H",101,"STREET","AVENUE 40","YORK","{'longitude': '-118.2311', 'latitude': '34.1273'}",24030,382,1436,NA,9,56
"167815",161911272,"2016-05-10T00:00:00.000","2016-05-10T00:00:00.000",820,19,"Mission",1909,997,"TRAFFIC COLLISION","3036 3003 3024 3101 3401 3701 4019",73,"F","H",101,"STREET","ELDRIDGE                     AV","HUBBARD                      ST","{'longitude': '-118.4214', 'latitude': '34.3154'}",18912,40,289,NA,1,47
"382491",111520972,"2011-11-18T00:00:00.000","2011-11-18T00:00:00.000",1250,15,"N Hollywood",1512,997,"TRAFFIC COLLISION","",28,"M","H",101,"STREET","SHERMAN","COLDWATER CANYON","{'longitude': '-118.4138', 'latitude': '34.2012'}",8888,163,493,NA,5,71
"161297",160812015,"2016-06-21T00:00:00.000","2016-06-21T00:00:00.000",1440,8,"West LA",891,997,"TRAFFIC COLLISION","3004 3025 3035 3036 3101 3401 3701 4014",24,"F","O",101,"STREET","PICO                         BL","CENTINELA                    AV","{'longitude': '-118.453', 'latitude': '34.0281'}",24029,867,1128,9,10,50
"107535",172111354,"2017-05-30T00:00:00.000","2017-05-30T00:00:00.000",1310,21,"Topanga",2145,997,"TRAFFIC COLLISION","3004 3037 3025 3101 3401 3701 4021",24,"M","O",101,"STREET","SCHOOLCRAFT                  ST","TOPANGA CANYON               BL","{'longitude': '-118.6059', 'latitude': '34.1965'}",4278,297,1472,NA,4,37
"39891",181915389,"2018-08-06T00:00:00.000","2018-08-03T00:00:00.000",100,19,"Mission",1962,997,"TRAFFIC COLLISION","3006 4009 3030 3028 3037 3101 3401 3701",31,"M","H",101,"STREET","NOBLE                        AV","PLUMMER                      ST","{'longitude': '-118.461', 'latitude': '34.2427'}",18914,114,415,NA,1,73
"398492",111219108,"2011-07-29T00:00:00.000","2011-07-15T00:00:00.000",1345,12,"77th Street",1213,997,"TRAFFIC COLLISION","",63,"M","H",101,"STREET","SLAUSON","WESTERN","{'longitude': '-118.3089', 'latitude': '33.9892'}",23678,743,1051,7,14,35
"359445",120112842,"2012-05-28T00:00:00.000","2012-05-21T00:00:00.000",410,1,"Central",165,997,"TRAFFIC COLLISION","3101 3401 3701 3011",24,"M","B",101,"STREET","MAPLE                        AV","7TH                          ST","{'longitude': '-118.2493', 'latitude': '34.0424'}",23075,703,1319,NA,9,76
"322322",131807598,"2013-03-20T00:00:00.000","2013-03-20T00:00:00.000",1445,18,"Southeast",1822,997,"TRAFFIC COLLISION","3004 3025 3101",59,"F","B",101,"STREET","MAIN","CENTURY","{'longitude': '-118.2739', 'latitude': '33.9456'}",22352,804,1172,7,14,45
"341660",120323082,"2012-10-17T00:00:00.000","2012-10-11T00:00:00.000",1530,3,"Southwest",392,997,"TRAFFIC COLLISION","3005 3028 3030",40,"F","B",101,"STREET","48TH                         ST","ARLINGTON                    AV","{'longitude': '-118.3181', 'latitude': '34.0001'}",23674,751,1044,7,14,35
"242591",140920101,"2014-12-09T00:00:00.000","2014-12-09T00:00:00.000",1246,9,"Van Nuys",943,997,"TRAFFIC COLLISION","3004 3036 3026 3102 3401 3701 4026",30,"F","W",101,"STREET","VAN NUYS                     BL","BURBANK                      BL","{'longitude': '-118.4485', 'latitude': '34.1721'}",19729,242,323,NA,7,18
"226239",151708623,"2015-04-08T00:00:00.000","2015-04-08T00:00:00.000",750,17,"Devonshire",1701,997,"TRAFFIC COLLISION","3004 3036 3028 3101 3401 3701 4026",40,"M","O",101,"STREET","RINALDI                      ST","TAMPA                        AV","{'longitude': '-118.5586', 'latitude': '34.2746'}",18905,62,1089,NA,2,48
"307917",131115205,"2013-08-04T00:00:00.000","2013-07-16T00:00:00.000",1735,11,"Northeast",1171,997,"TRAFFIC COLLISION","1501 3101 3401 3701 3004 3030",NA,"M","W",101,"STREET","SUNSET","DECANSO","{'longitude': '-118.2741', 'latitude': '34.0917'}",23444,467,596,NA,8,90
"287453",132020761,"2013-12-24T00:00:00.000","2013-12-24T00:00:00.000",1100,20,"Olympic",2074,997,"TRAFFIC COLLISION","3008 3025 3034 3036 3101 3401 3701 4027",22,"M","H",101,"STREET","HARVARD                      BL","VENICE                       BL","{'longitude': '-118.3041', 'latitude': '34.0436'}",22723,672,1357,NA,12,19
"312448",131312638,"2013-06-08T00:00:00.000","2013-06-08T00:00:00.000",450,13,"Newton",1341,997,"TRAFFIC COLLISION","3101 3401 3701 3011 3025 3036",22,"M","H",101,"STREET","S  BROADWAY","W  JEFFERSON                    BL","{'longitude': '-118.2742', 'latitude': '34.0185'}",22724,727,975,7,13,6
"275780",141108170,"2014-03-31T00:00:00.000","2014-03-31T00:00:00.000",1740,11,"Northeast",1142,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3034 3026",27,"M","H",101,"STREET","VERMONT                      AV","FRANKLIN                     AV","{'longitude': '-118.2918', 'latitude': '34.1054'}",23445,401,1328,16,7,3
"311506",130711225,"2013-06-16T00:00:00.000","2013-06-16T00:00:00.000",100,7,"Wilshire",734,997,"TRAFFIC COLLISION","4027 3030 3035 3037 3401 3701 3006 3102",34,"M","W",101,"STREET","ALANDELE                     AV","ORANGE                       DR","{'longitude': '-118.3548', 'latitude': '34.0677'}",23667,628,1090,NA,7,26
"354348",121314775,"2012-07-01T00:00:00.000","2012-07-01T00:00:00.000",1,13,"Newton",1383,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030",31,"F","H",101,"STREET","GAGE","MAIN","{'longitude': '-118.2739', 'latitude': '33.9824'}",22352,788,995,7,13,46
"423535",100222670,"2010-12-21T00:00:00.000","2010-12-21T00:00:00.000",1220,2,"Rampart",245,997,"TRAFFIC COLLISION","",NA,"F","B",101,"STREET","5TH ST","PARK VIEW","{'longitude': '-118.2791', 'latitude': '34.064'}",24352,560,1318,NA,11,63
"344304",122017196,"2012-09-21T00:00:00.000","2012-09-21T00:00:00.000",910,20,"Olympic",2056,997,"TRAFFIC COLLISION","0605 4020 3004 3034 3036 3101 3401 3701",68,"M","W",101,"STREET","OLYMPIC                      BL","NEW HAMPSHIRE                AV","{'longitude': '-118.2927', 'latitude': '34.0527'}",22723,620,1246,NA,12,89
"234407",150106615,"2015-02-11T00:00:00.000","2015-02-10T00:00:00.000",1545,1,"Central",154,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030",48,"M","A",101,"STREET","SAN PEDRO                    ST","7TH                          ST","{'longitude': '-118.2493', 'latitude': '34.046'}",23074,542,527,NA,9,76
"334951",121721204,"2012-12-04T00:00:00.000","2012-12-04T00:00:00.000",1745,17,"Devonshire",1743,997,"TRAFFIC COLLISION","4026 3004 3036 3026 3101 3401 3701",57,"M","W",101,"STREET","RESEDA","CHATSWORTH","{'longitude': '-118.5361', 'latitude': '34.2645'}",18905,82,1537,NA,2,77
"130662",171204140,"2017-01-03T00:00:00.000","2017-01-01T00:00:00.000",215,12,"77th Street",1273,997,"TRAFFIC COLLISION","4012 3024 3101 3037 3003",20,"M","H",101,"STREET","WESTERN                      AV","88TH                         ST","{'longitude': '-118.309', 'latitude': '33.9582'}",23678,784,357,7,14,20
"399356",111713631,"2011-07-08T00:00:00.000","2011-07-08T00:00:00.000",1025,17,"Devonshire",1795,997,"TRAFFIC COLLISION","",42,"M","O",101,"STREET","ROSCOE                       BL","BALBOA                       BL","{'longitude': '-118.5055', 'latitude': '34.2212'}",18514,111,1540,NA,2,65
"415671",110406331,"2011-02-25T00:00:00.000","2011-02-25T00:00:00.000",755,4,"Hollenbeck",449,997,"TRAFFIC COLLISION","",20,"M","H",101,"STREET","WABASH                       AV","EVERGREEN                    AV","{'longitude': '-118.197', 'latitude': '34.0501'}",23450,509,1216,NA,9,38
"254582",140319464,"2014-09-12T00:00:00.000","2014-09-12T00:00:00.000",700,3,"Southwest",358,997,"TRAFFIC COLLISION","4025 3025 3004 3034 3036 3101",26,"F","H",101,"STREET","JEFFERSON                    BL","VERMONT                      AV","{'longitude': '-118.2915', 'latitude': '34.0255'}",22724,685,1265,7,13,32
"261757",140411934,"2014-07-22T00:00:00.000","2014-07-21T00:00:00.000",2330,4,"Hollenbeck",464,997,"TRAFFIC COLLISION","3101 3401 3701 3002 3004 3026 3034 3104",29,"M","H",101,"STREET","SOTO","MICHIGAN","{'longitude': '-118.2088', 'latitude': '34.0453'}",23450,522,350,NA,9,38
"226930",152108559,"2015-04-11T00:00:00.000","2015-04-03T00:00:00.000",1930,21,"Topanga",2169,997,"TRAFFIC COLLISION","3008 3024 3037 3101 3401 4021",24,"M","H",101,"STREET","WINNETKA                     AV","OXNARD                       ST","{'longitude': '-118.571', 'latitude': '34.1802'}",19347,305,336,NA,4,49
"74900",172121415,"2017-12-18T00:00:00.000","2017-12-18T00:00:00.000",1801,21,"Topanga",2146,997,"TRAFFIC COLLISION","3024 3004 3036 3101 3401 3701 4021",29,"M","W",101,"STREET","TOPANGA CANYON               BL","VANOWEN                      ST","{'longitude': '-118.6059', 'latitude': '34.1938'}",4278,297,1472,2,4,37
"214977",150711660,"2015-06-30T00:00:00.000","2015-06-28T00:00:00.000",1940,7,"Wilshire",711,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4027",24,"M","W",101,"STREET","OAKWOOD                      AV","LA CIENEGA                   BL","{'longitude': '-118.3766', 'latitude': '34.0782'}",23679,462,1082,NA,6,26
"314287",131111640,"2013-05-28T00:00:00.000","2013-05-24T00:00:00.000",1100,11,"Northeast",1172,997,"TRAFFIC COLLISION","3701 3101 3401 3006 3030",24,"F","W",101,"STREET","FARGO                        ST","APEX                         AV","{'longitude': '-118.2608', 'latitude': '34.0929'}",23670,468,915,NA,8,90
"4791",190309050,"2019-03-20T00:00:00.000","2019-03-20T00:00:00.000",740,3,"Southwest",334,997,"TRAFFIC COLLISION","4025 3037 3004 3026 3101",44,"F","H",101,"STREET","CRENSHAW                     BL","RODEO                        BL","{'longitude': '-118.3318', 'latitude': '34.0268'}",23079,662,920,7,12,19
"52223",181911035,"2018-05-15T00:00:00.000","2018-05-14T00:00:00.000",2150,19,"Mission",1963,997,"TRAFFIC COLLISION","3004 3036 3602 3025 3101 3401 3701 4026",NA,"F","H",101,"STREET","VAN NUYS                     BL","WOODMAN                      AV","{'longitude': '-118.4482', 'latitude': '34.2471'}",18907,NA,958,NA,3,59
"35502",181916645,"2018-08-30T00:00:00.000","2018-08-30T00:00:00.000",1,19,"Mission",1904,997,"TRAFFIC COLLISION","3032 3006 3028 3030 3037 3101 3401 3701 4026",27,"M","O",108,"PARKING LOT","OLIVE VIEW                   DR","KENNEDY                      RD","{'longitude': '-118.447', 'latitude': '34.3243'}",18912,37,1398,NA,1,47
"375323",120904926,"2012-01-18T00:00:00.000","2012-01-17T00:00:00.000",820,9,"Van Nuys",985,997,"TRAFFIC COLLISION","3104 3401 3701 3036 3004 3028 3030",31,"M","W",101,"STREET","VENTURA                      BL","BEVERLY GLEN                 AV","{'longitude': '-118.4458', 'latitude': '34.1505'}",19736,333,676,6,7,83
"294764",131016862,"2013-10-27T00:00:00.000","2013-10-27T00:00:00.000",835,10,"West Valley",1029,997,"TRAFFIC COLLISION","3006 3030 3037 3101 3401 3701 4026",35,"F","H",101,"STREET","WOODLEY                      AV","BASSETT                      AV","{'longitude': '-118.4837', 'latitude': '34.1961'}",19734,223,294,NA,3,61
"266427",140810063,"2014-06-14T00:00:00.000","2014-06-14T00:00:00.000",1730,8,"West LA",884,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3401 3701 4027",30,"F","O",101,"STREET","10800 W  PICO                         BL","","{'longitude': '-118.4275', 'latitude': '34.0406'}",24029,869,814,9,6,75
"436869",100815161,"2010-09-10T00:00:00.000","2010-09-09T00:00:00.000",830,8,"West LA",836,997,"TRAFFIC COLLISION","0605",35,"M","W",101,"STREET","NEBRASKA                     AV","ARMACOST","{'longitude': '-118.4566', 'latitude': '34.0377'}",23443,865,1517,9,10,50
"280291",140306983,"2014-02-23T00:00:00.000","2014-02-23T00:00:00.000",1305,3,"Southwest",326,997,"TRAFFIC COLLISION","3026 3029 3101 3004",41,"M","H",101,"STREET","NORMANDIE                    AV","27TH                         ST","{'longitude': '-118.3002', 'latitude': '34.0309'}",22724,689,654,7,14,32
"283872",140504989,"2014-01-25T00:00:00.000","2014-01-25T00:00:00.000",1330,5,"Harbor",513,997,"TRAFFIC COLLISION","3009 3026 3101",24,"M","H",101,"STREET","PACIFIC COAST                HY","FRAMPTON                     AV","{'longitude': '-118.2999', 'latitude': '33.7895'}",26327,958,644,NA,15,29
"283639",142105191,"2014-01-27T00:00:00.000","2014-01-27T00:00:00.000",800,21,"Topanga",2175,997,"TRAFFIC COLLISION","1501 3004 3036 3026 3101 3401 3701 4021",71,"F","W",101,"STREET","BURBANK                      BL","CAPISTRANO                   AV","{'longitude': '-118.6168', 'latitude': '34.172'}",19347,306,1484,NA,4,49
"337187",121618061,"2012-11-15T00:00:00.000","2012-11-15T00:00:00.000",810,16,"Foothill",1623,997,"TRAFFIC COLLISION","3029 4016 0605 3004 3101 3401 3701",NA,"M","H",101,"STREET","VAN NUYS                     BL","GLENOAKS                     BL","{'longitude': '-118.4125', 'latitude': '34.2731'}",18907,24,369,NA,1,11
"414431",110706785,"2011-03-07T00:00:00.000","2011-03-07T00:00:00.000",1510,7,"Wilshire",727,997,"TRAFFIC COLLISION","",37,"F","H",101,"STREET","LA BREA                      AV","3RD                          ST","{'longitude': '-118.344', 'latitude': '34.0689'}",23667,624,1347,NA,6,86
"41458",180914911,"2018-07-24T00:00:00.000","2018-07-24T00:00:00.000",2300,9,"Van Nuys",919,997,"TRAFFIC COLLISION","3006 3037 3030 3028 3101 3401 3701 4009",NA,"M","O",101,"STREET","FULTON                       AV","VANOWEN                      ST","{'longitude': '-118.4225', 'latitude': '34.194'}",8888,181,286,NA,5,71
"291511",131120500,"2013-11-21T00:00:00.000","2013-11-21T00:00:00.000",700,11,"Northeast",1163,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3034",60,"M","H",101,"STREET","FOUNTAIN                     AV","VERMONT                      AV","{'longitude': '-118.2918', 'latitude': '34.0956'}",23445,430,574,16,8,58
"23066",180325430,"2018-11-15T00:00:00.000","2018-11-15T00:00:00.000",800,3,"Southwest",311,997,"TRAFFIC COLLISION","4003 3037 3004 3028 3030 3101",36,"F","H",101,"STREET","CLYDE                        AV","BLACKWELDER                  ST","{'longitude': '-118.3679', 'latitude': '34.0297'}",23077,667,1119,NA,12,17
"162744",160411069,"2016-06-12T00:00:00.000","2016-06-11T00:00:00.000",2310,4,"Hollenbeck",497,997,"TRAFFIC COLLISION","3101 3401 3701 3006 3030 3801",22,"M","H",101,"STREET","OLYMPIC","CAMULOS","{'longitude': '-118.2156', 'latitude': '34.0225'}",23441,530,961,NA,9,38
"437728",101518788,"2010-09-02T00:00:00.000","2010-09-01T00:00:00.000",1910,15,"N Hollywood",1548,997,"TRAFFIC COLLISION","",58,"F","W",101,"STREET","TUJUNGA                      AV","MCCORMICK                    ST","{'longitude': '-118.3789', 'latitude': '34.167'}",8488,209,322,NA,5,13
"168632",161311194,"2016-05-04T00:00:00.000","2016-05-04T00:00:00.000",1205,13,"Newton",1341,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 3036",69,"M","B",101,"STREET","JEFFERSON                    BL","HILL                         ST","{'longitude': '-118.2761', 'latitude': '34.0202'}",22724,727,975,7,13,6
"254025",141318656,"2014-09-24T00:00:00.000","2014-09-16T00:00:00.000",1500,13,"Newton",1372,997,"TRAFFIC COLLISION","0605 3101 3401 3701 3006 3030",NA,"","",101,"STREET","54TH                         ST","MAIN                         ST","{'longitude': '-118.2739', 'latitude': '33.9934'}",22727,725,895,7,13,NA
"12123",191305533,"2019-01-28T00:00:00.000","2019-01-28T00:00:00.000",1815,13,"Newton",1353,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3036",NA,"M","H",101,"STREET","E  43RD                         PL","MCKINLEY                     AV","{'longitude': '-118.2609', 'latitude': '34.0048'}",22727,717,893,7,13,NA
"177712",161800633,"2016-03-06T00:00:00.000","2016-03-06T00:00:00.000",326,18,"Southeast",1821,997,"TRAFFIC COLLISION","4018 3037 3030 3028 3101 1402",32,"M","H",101,"STREET","104TH                        ST","FIGUEROA                     ST","{'longitude': '-118.2826', 'latitude': '33.9424'}",22352,803,1165,7,14,45
"342139",121519629,"2012-10-08T00:00:00.000","2012-10-07T00:00:00.000",300,15,"N Hollywood",1519,997,"TRAFFIC COLLISION","0605 3004 3030 3101 3401 3036 3701",39,"F","H",101,"STREET","VANOWEN                      ST","RIVERTON                     AV","{'longitude': '-118.3659', 'latitude': '34.194'}",8888,172,486,NA,5,14
"23514",181119379,"2018-11-12T00:00:00.000","2018-11-12T00:00:00.000",1045,11,"Northeast",1145,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3025",39,"M","W",101,"STREET","RIVERSIDE                    DR","NEWELL                       ST","{'longitude': '-118.2483', 'latitude': '34.0985'}",23670,480,1428,NA,8,31
"291827",131923226,"2013-11-19T00:00:00.000","2013-11-19T00:00:00.000",1115,19,"Mission",1989,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701 4026",26,"F","O",101,"STREET","SHELDON                      AV","ROSCOE                       BL","{'longitude': '-118.4144', 'latitude': '34.2217'}",19335,163,448,NA,3,21
"346136",121221208,"2012-09-06T00:00:00.000","2012-09-06T00:00:00.000",740,12,"77th Street",1249,997,"TRAFFIC COLLISION","3028 3030 3004 3101",33,"F","H",101,"STREET","GAGE                         AV","FLOWER                       ST","{'longitude': '-118.2811', 'latitude': '33.9824'}",22352,767,991,7,13,2
"363821",121910291,"2012-04-15T00:00:00.000","2012-04-15T00:00:00.000",1030,19,"Mission",1954,997,"TRAFFIC COLLISION","3006 3037 3025 3101 3401 3701",NA,"M","H",101,"STREET","DEVONSHIRE                   ST","NOBLE                        AV","{'longitude': '-118.4609', 'latitude': '34.2573'}",19330,74,398,NA,1,4
"26200",181017750,"2018-10-27T00:00:00.000","2018-10-27T00:00:00.000",1345,10,"West Valley",1078,997,"TRAFFIC COLLISION","4010 3006 3037 3032 3030 3028 3101 3401 3701 4026",51,"M","O",101,"STREET","VENTURA                      BL","HAYVENHURST                  AV","{'longitude': '-118.4945', 'latitude': '34.1579'}",19737,326,1363,6,6,62
"200756",151716935,"2015-10-03T00:00:00.000","2015-10-03T00:00:00.000",1100,17,"Devonshire",1793,997,"TRAFFIC COLLISION","3030 3028 3037 3101 3401 3701 4010 3006 3032",69,"M","O",101,"STREET","TAMPA                        AV","PARTHENIA                    ST","{'longitude': '-118.5536', 'latitude': '34.2282'}",18513,101,1426,NA,2,65
"124153",171306714,"2017-02-14T00:00:00.000","2017-02-14T00:00:00.000",1040,13,"Newton",1395,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3025",34,"F","W",101,"STREET","AVALON","67TH","{'longitude': '-118.2652', 'latitude': '33.9788'}",22352,789,996,7,13,46
"223520",151910269,"2015-04-27T00:00:00.000","2015-04-27T00:00:00.000",1900,19,"Mission",1974,997,"TRAFFIC COLLISION","3003 3037 3032 3026 3401 3701 4026 3102",28,"F","H",108,"PARKING LOT","VAN NUYS                     BL","NORDHOFF                     ST","{'longitude': '-118.4502', 'latitude': '34.2354'}",19730,146,417,NA,3,59
"72880",181604060,"2018-01-02T00:00:00.000","2018-01-02T00:00:00.000",1230,16,"Foothill",1643,997,"TRAFFIC COLLISION","3004 3036 3026 3101 3401 3701 4026",34,"F","H",101,"STREET","EL DORADO                    AV","PIERCE                       ST","{'longitude': '-118.4238', 'latitude': '34.2649'}",18907,27,379,NA,1,11
"222064",150312041,"2015-05-08T00:00:00.000","2015-05-07T00:00:00.000",2055,3,"Southwest",354,997,"TRAFFIC COLLISION","4025 3003 3025 3101",24,"M","H",101,"STREET","RODEO                        RD","6TH                          AV","{'longitude': '-118.3241', 'latitude': '34.0189'}",23079,NA,1015,7,12,19
"443989",101614897,"2010-07-30T00:00:00.000","2010-07-11T00:00:00.000",115,16,"Foothill",1656,997,"TRAFFIC COLLISION","",30,"M","W",108,"PARKING LOT","FOOTHILL                     BL","MCVINE                       AV","{'longitude': '-118.3114', 'latitude': '34.2597'}",3221,12,531,18,1,7
"195371",151820167,"2015-11-07T00:00:00.000","2015-11-07T00:00:00.000",1330,18,"Southeast",1834,997,"TRAFFIC COLLISION","4025 3028 3030 3101 3037 3006",54,"M","B",101,"STREET","CLOVIS                       AV","105TH                        ST","{'longitude': '-118.2565', 'latitude': '33.941'}",22351,807,359,7,14,45
"406834",111414397,"2011-05-07T00:00:00.000","2011-05-07T00:00:00.000",1345,14,"Pacific",1463,997,"TRAFFIC COLLISION","",20,"F","W",101,"STREET","LINCOLN                      BL","JEFFERSON                    BL","{'longitude': '-118.4303', 'latitude': '33.9721'}",24343,923,492,10,10,16
