"","Row original","Division of Records","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting Distric","Crime Code","Crime Code Description","Modus Operandi Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Address","Cross Street","Location","Zip Codes","Census Tracts","Precint Boundaries","LA Specific Plans","Council Districts","Neighborhood Councils"
"27",19875,181823592,"2018-12-06","2018-12-05",910,18,"Southeast",1824,997,"TRAFFIC COLLISION","1501 4025 3037 3004 3028 3030 3101",NA,"M","O",101,"STREET","1200 E  96TH                         ST","","{'longitude': '-118.254', 'latitude': '33.9493'}",22351,806,1176,7,14,45
"28",71467,182104523,"2018-01-11","2018-01-11",1420,21,"Topanga",2126,997,"TRAFFIC COLLISION","3011 3037 3034 3030 3028 3101 3401 3701 4026",NA,"M","O",102,"SIDEWALK","FAIRCHILD                    AV","DE SOTO                      AV","{'longitude': '-118.5912', 'latitude': '34.2136'}",4279,276,268,NA,4,37
"29",94675,171014729,"2017-08-20","2017-08-20",1425,10,"West Valley",1008,997,"TRAFFIC COLLISION","3004 3036 3026 3101 3401 3701 4010",30,"M","W",101,"STREET","SHERMAN                      WY","GLORIA                       AV","{'longitude': '-118.4912', 'latitude': '34.2077'}",19734,2325,436,NA,3,61
"30",220855,150211437,"2015-05-16","2015-05-16",1235,2,"Rampart",217,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3025",25,"F","H",101,"STREET","TEMPLE                       ST","BURLINGTON                   AV","{'longitude': '-118.2645', 'latitude': '34.0691'}",23444,552,930,NA,8,31
"31",342753,120322177,"2012-10-03","2012-10-02",1650,3,"Southwest",343,997,"TRAFFIC COLLISION","0605",46,"F","B",101,"STREET","LA BREA","COLISEUM","{'longitude': '-118.3556', 'latitude': '34.0183'}",23077,760,1113,NA,12,54
"32",90546,171015885,"2017-09-14","2017-09-14",715,10,"West Valley",1035,997,"TRAFFIC COLLISION","3004 3030 3028 3101 3401 3701 4010",58,"F","H",101,"STREET","ZELZAH","VANOWEN","{'longitude': '-118.523', 'latitude': '34.1939'}",18909,264,245,NA,4,12
"33",46900,180912999,"2018-06-19","2018-06-19",1630,9,"Van Nuys",933,997,"TRAFFIC COLLISION","3037 3030 3028 3101 3401 3701 4026 3006",46,"F","H",108,"PARKING LOT","VAN NUYS                     BL","VICTORY                      BL","{'longitude': '-118.4487', 'latitude': '34.1867'}",19729,236,290,NA,3,18
"34",443774,101316534,"2010-07-13","2010-07-13",1430,13,"Newton",1331,997,"TRAFFIC COLLISION","",29,"F","H",101,"STREET","28TH","MAIN","{'longitude': '-118.2709', 'latitude': '34.0236'}",22724,700,660,7,13,6
"35",288611,130626705,"2013-12-16","2013-12-15",955,6,"Hollywood",643,997,"TRAFFIC COLLISION","3025 3035 3036 3101 3401 3701 1300 3003 4006",49,"F","O",101,"STREET","HOLLYWOOD","GARDNER","{'longitude': '-118.3528', 'latitude': '34.1017'}",23677,413,797,NA,7,82
"36",198007,150918544,"2015-10-21","2015-10-21",800,9,"Van Nuys",914,997,"TRAFFIC COLLISION","3004 3036 3026 3101 3401 3701 4026",44,"M","H",101,"STREET","KESTER                       AV","SHERMAN                      WY","{'longitude': '-118.4574', 'latitude': '34.2012'}",19733,219,288,NA,3,18
"37",268347,141511691,"2014-05-30","2014-05-30",325,15,"N Hollywood",1583,997,"TRAFFIC COLLISION","3011 3034 3025 3101 3401 3701 4026",NA,"M","W",101,"STREET","VENTURA                      BL","CARPENTER                    AV","{'longitude': '-118.3908', 'latitude': '34.1427'}",8492,347,1353,6,5,84
"38",263556,141215816,"2014-07-06","2014-07-06",1700,12,"77th Street",1231,997,"TRAFFIC COLLISION","3004 3026 3101 1402",30,"F","H",101,"STREET","SLAUSON                      AV","ANGELES VISTA                BL","{'longitude': '-118.3518', 'latitude': '33.9889'}",23674,757,1188,7,14,24
"39",368520,121908052,"2012-03-10","2012-03-10",410,19,"Mission",1918,997,"TRAFFIC COLLISION","3006 3030 3101 3401 3701",21,"M","O",101,"STREET","13800    SAYRE                        ST","","{'longitude': '-118.4338', 'latitude': '34.3102'}",18912,46,1307,NA,1,47
"40",260487,140616605,"2014-08-02","2014-07-31",2130,6,"Hollywood",632,997,"TRAFFIC COLLISION","3006 4006 3028 3030 3035 3037 3102 3401 3701",NA,"X","X",101,"STREET","8700    WONDERLAND                   AV","","{'longitude': '-118.3845', 'latitude': '34.1129'}",23677,825,731,NA,7,81
"41",324904,130307572,"2013-03-01","2013-02-28",2215,3,"Southwest",336,997,"TRAFFIC COLLISION","3004 3026 3101",29,"F","H",101,"STREET","29TH                         ST","WESTERN                      AV","{'longitude': '-118.3089', 'latitude': '34.0291'}",23079,689,910,7,14,32
"42",458598,101607413,"2010-03-14","2010-03-14",515,16,"Foothill",1651,997,"TRAFFIC COLLISION","0605",55,"F","H",101,"STREET","MONTAGUE                     ST","LAUREL CANYON                BL","{'longitude': '-118.4164', 'latitude': '34.2439'}",18907,36,413,NA,1,11
"43",142912,160716457,"2016-10-15","2016-10-15",730,7,"Wilshire",702,997,"TRAFFIC COLLISION","3004 3028 3030 3035 3037 3101 3401 3701 4027",30,"F","W",101,"STREET","FAIRFAX                      AV","WARING                       AV","{'longitude': '-118.3614', 'latitude': '34.0856'}",23677,460,804,NA,6,26
"44",7670,190806634,"2019-02-28","2019-02-28",1545,8,"West LA",859,997,"TRAFFIC COLLISION","3004 3026 3035 3036 3101 3401 3701 4008",26,"M","O",101,"STREET","PICO                         BL","LA CIENEGA                   BL","{'longitude': '-118.3762', 'latitude': '34.0536'}",23666,639,828,NA,6,95
"45",48529,180314385,"2018-06-08","2018-06-08",1800,3,"Southwest",357,997,"TRAFFIC COLLISION","4003 3036 3004 3026 3101",32,"F","H",101,"STREET","VERMONT                      AV","38TH                         ST","{'longitude': '-118.2959', 'latitude': '34.0219'}",22724,691,913,7,14,32
"46",326218,131407039,"2013-02-16","2013-02-16",55,14,"Pacific",1414,997,"TRAFFIC COLLISION","0605 3006 3030 3035 3037 3101 3401 3701 4027",35,"F","B",101,"STREET","WESTMINSTER                  AV","7TH                          AV","{'longitude': '-118.4649', 'latitude': '33.9954'}",25073,906,850,10,10,30
"47",447312,101114226,"2010-06-15","2010-06-14",1900,11,"Northeast",1152,997,"TRAFFIC COLLISION","",43,"M","W",101,"STREET","SUNSET                       BL","VIRGIL                       PL","{'longitude': '-118.2862', 'latitude': '34.0976'}",23445,466,377,NA,7,3
"48",357078,120615802,"2012-06-09","2012-06-09",145,6,"Hollywood",665,997,"TRAFFIC COLLISION","3004 3030 3035 3037 3101 3401 3701",41,"M","O",101,"STREET","SUNSET                       BL","CHEROKEE                     AV","{'longitude': '-118.3353', 'latitude': '34.098'}",23446,422,468,NA,8,34
"49",337663,120416993,"2012-11-11","2012-11-11",1905,4,"Hollenbeck",497,997,"TRAFFIC COLLISION","3010 3101 3401 3701 3030",21,"M","H",101,"STREET","VELASCO                      ST","OLYMPIC                      BL","{'longitude': '-118.2052', 'latitude': '34.0188'}",23441,530,1269,NA,9,38
"50",462359,100806034,"2010-02-15","2010-02-11",1845,8,"West LA",891,997,"TRAFFIC COLLISION","0605",62,"M","W",101,"STREET","PICO                         BL","WESTGATE                     AV","{'longitude': '-118.4492', 'latitude': '34.0299'}",24029,867,1128,9,10,50
"51",307317,131514786,"2013-07-21","2013-07-21",120,15,"N Hollywood",1503,997,"TRAFFIC COLLISION","4026 3004 3037 3025 3101 3401 3701",NA,"","",101,"STREET","SHERMAN                      WY","LAUREL CANYON                BL","{'longitude': '-118.3965', 'latitude': '34.2006'}",8888,NA,495,NA,5,14
"52",291217,130816964,"2013-11-23","2013-11-23",1720,8,"West LA",853,997,"TRAFFIC COLLISION","3004 3025 3035 3037 3103 3401 3701 4027",44,"M","O",101,"STREET","SANTA MONICA                 BL","BELOIT                       AV","{'longitude': '-118.4473', 'latitude': '34.0468'}",23443,861,746,9,10,50
"53",424339,101230454,"2010-12-17","2010-12-17",1145,12,"77th Street",1249,997,"TRAFFIC COLLISION","",56,"M","H",101,"STREET","HOOVER                       ST","71ST                         ST","{'longitude': '-118.2871', 'latitude': '33.9755'}",23675,773,979,7,14,NA
"54",461388,101907133,"2010-02-19","2010-02-19",1815,19,"Mission",1917,997,"TRAFFIC COLLISION","",49,"M","H",101,"STREET","13800    FOOTHILL                     BL","","{'longitude': '-118.4338', 'latitude': '34.3102'}",18912,46,1307,NA,1,47
"55",296274,131118881,"2013-10-16","2013-10-16",1700,11,"Northeast",1163,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3030 3602",61,"M","H",101,"STREET","VERMONT                      AV","SANTA MONICA                 BL","{'longitude': '-118.2917', 'latitude': '34.0909'}",23447,433,1285,16,8,58
"56",365038,121709244,"2012-04-06","2012-04-06",840,17,"Devonshire",1781,997,"TRAFFIC COLLISION","3034 3028 3004 3036 3101 3401 3701",43,"F","H",101,"STREET","DE SOTO                      AV","NORDHOFF                     ST","{'longitude': '-118.5885', 'latitude': '34.2355'}",4284,102,314,NA,2,43
"57",348297,121116320,"2012-08-20","2012-08-20",855,11,"Northeast",1126,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3025",48,"M","O",101,"STREET","YORK                         BL","AVENUE 53","{'longitude': '-118.2005', 'latitude': '34.1203'}",23673,365,439,NA,9,93
"58",320204,131607822,"2013-04-06","2013-04-06",550,16,"Foothill",1658,997,"TRAFFIC COLLISION","3006 3030 3037 3101 3401 3701 4026",NA,"F","H",101,"STREET","SILVERTON                    AV","VALMONT                      ST","{'longitude': '-118.2842', 'latitude': '34.253'}",3222,4,538,18,1,7
"59",83937,170717489,"2017-10-25","2017-10-25",800,7,"Wilshire",764,997,"TRAFFIC COLLISION","3004 3026 3035 3036 3101 3401 3701 4027",47,"M","A",101,"STREET","OLYMPIC                      BL","SYCAMORE                     AV","{'longitude': '-118.3555', 'latitude': '34.0465'}",23080,646,1349,NA,12,23
"60",135855,161428719,"2016-11-29","2016-11-29",1425,14,"Pacific",1467,997,"TRAFFIC COLLISION","3004 3025 3034 3036 3101 3401 3701 4027",73,"M","B",101,"STREET","LA TIJERA","74TH","{'longitude': '-118.3817', 'latitude': '33.9685'}",23676,925,1065,10,10,16
"61",233348,151006893,"2015-03-12","2015-02-17",800,10,"West Valley",1047,997,"TRAFFIC COLLISION","3006 3030 3028 3101 3401 3701 4010 3032 3037",NA,"M","X",101,"STREET","BURBANK                      BL","WHITE OAK                    AV","{'longitude': '-118.5185', 'latitude': '34.1723'}",4286,315,340,NA,6,62
"62",219723,151609287,"2015-05-25","2015-05-25",2210,16,"Foothill",1676,997,"TRAFFIC COLLISION","3009 3036 3027 3101 3401 3701 4026",24,"M","O",108,"PARKING LOT","GLENOAKS                     BL","NETTLETON                    ST","{'longitude': '-118.3617', 'latitude': '34.2249'}",19335,154,1371,NA,5,21
"63",80310,171119511,"2017-11-16","2017-11-15",800,11,"Northeast",1143,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3030",46,"M","O",101,"STREET","2600    SAINT GEORGE                 ST","","{'longitude': '-118.277', 'latitude': '34.1072'}",23445,464,547,NA,7,3
"64",63032,181507451,"2018-03-06","2018-03-06",1700,15,"N Hollywood",1557,997,"TRAFFIC COLLISION","3008 3025 3037 3101 3401 3701 4015",22,"F","O",101,"STREET","MAGNOLIA                     BL","RIVERTON                     AV","{'longitude': '-118.3653', 'latitude': '34.1649'}",8488,212,338,NA,5,13
"65",310185,131812348,"2013-06-27","2013-06-27",2150,18,"Southeast",1834,997,"TRAFFIC COLLISION","3002 3101 0605 3028",48,"M","B",101,"STREET","108TH                        ST","MCKINLEY                     AV","{'longitude': '-118.2608', 'latitude': '33.9383'}",24354,807,359,7,14,45
"66",444597,102016030,"2010-07-06","2010-07-06",1400,20,"Olympic",2024,997,"TRAFFIC COLLISION","",39,"F","A",101,"STREET","6TH                          ST","SERRANO                      AV","{'longitude': '-118.3066', 'latitude': '34.0636'}",23081,591,1261,NA,12,89
"67",98696,170120766,"2017-07-27","2017-07-26",1622,1,"Central",101,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3034 3036",29,"M","H",101,"STREET","BEAUDRY                      AV","SUNSET                       BL","{'longitude': '-118.2489', 'latitude': '34.0655'}",22728,484,1368,NA,11,28
"68",5923,190507169,"2019-03-12","2019-03-12",1600,5,"Harbor",564,997,"TRAFFIC COLLISION","0605 3028 3030 3101 3004 3037",NA,"X","X",101,"STREET","2ND                          ST","PALOS VERDES                 ST","{'longitude': '-118.2813', 'latitude': '33.7424'}",3342,970,433,NA,15,36
"69",243858,141018103,"2014-12-02","2014-12-01",2320,10,"West Valley",1001,997,"TRAFFIC COLLISION","3004 3036 3028 3101 3401 3701 4010 0906",27,"F","A",101,"STREET","ROSCOE                       BL","TAMPA                        AV","{'longitude': '-118.5536', 'latitude': '34.2205'}",18513,101,1426,NA,2,65
"70",252072,140917036,"2014-10-01","2014-10-01",800,9,"Van Nuys",971,997,"TRAFFIC COLLISION","3003 3037 3025 3101 3401 3701 4026",NA,"M","O",101,"STREET","MOORPARK                     ST","KESTER                       AV","{'longitude': '-118.4574', 'latitude': '34.1533'}",19732,336,883,6,7,83
"71",101583,171113256,"2017-07-08","2017-07-07",1630,11,"Northeast",1132,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3026 3036",32,"F","W",101,"STREET","LOS FELIZ                    BL","LOWRY","{'longitude': '-118.2791', 'latitude': '34.1134'}",23445,397,938,NA,7,3
"72",225108,150310655,"2015-04-16","2015-04-16",1220,3,"Southwest",314,997,"TRAFFIC COLLISION","4025 3025 3102 3011 3032",92,"F","B",108,"PARKING LOT","ADAMS                        BL","4TH                          AV","{'longitude': '-118.3212', 'latitude': '34.0326'}",23079,659,917,7,12,19
"73",12809,190905031,"2019-01-23","2019-01-23",935,9,"Van Nuys",943,997,"TRAFFIC COLLISION","3003 3036 3025 3101 3401 3701 4026",53,"M","H",101,"STREET","VAN NUYS                     BL","CALIFA                       ST","{'longitude': '-118.4485', 'latitude': '34.1776'}",19729,243,948,NA,7,18
"74",326081,131506440,"2013-02-18","2013-02-18",200,15,"N Hollywood",1526,997,"TRAFFIC COLLISION","3011 3034 3025 3037 3401 3701 4026 3101",22,"F","H",101,"STREET","LANKERSHIM                   BL","OXNARD                       ST","{'longitude': '-118.3856', 'latitude': '34.1794'}",8488,192,520,NA,5,13
"75",426045,100818943,"2010-12-04","2010-12-04",125,8,"West LA",885,997,"TRAFFIC COLLISION","0605",NA,"X","X",101,"STREET","MOTOR                        AV","MONTE MAR                    AV","{'longitude': '-118.4049', 'latitude': '34.0431'}",24029,872,1100,9,6,75
"76",265018,140614253,"2014-06-26","2014-06-25",1430,6,"Hollywood",625,997,"TRAFFIC COLLISION","3004 3026 3035 3036 3101 3401 3701 4006",51,"M","W",101,"STREET","HIGHLAND                     AV","CAMROSE                      AV","{'longitude': '-118.3371', 'latitude': '34.1083'}",24033,408,717,NA,7,82
"77",261438,140117370,"2014-07-25","2014-07-23",1045,1,"Central",119,997,"TRAFFIC COLLISION","3101 3401 3701 3006",NA,"F","H",101,"STREET","100    BAUCHET                      ST","","{'longitude': '-118.2369', 'latitude': '34.0588'}",22728,532,1322,27,9,28
"78",248212,141428655,"2014-11-13","2014-10-29",1200,14,"Pacific",1401,997,"TRAFFIC COLLISION","3006 3028 3030 3035 3037 3101 3401 3701 4008",82,"M","W",101,"STREET","2500    WELLESLEY                    AV","","{'longitude': '-118.4501', 'latitude': '34.0262'}",24029,890,347,9,10,27
"79",104996,170315049,"2017-06-15","2017-06-15",1330,3,"Southwest",394,997,"TRAFFIC COLLISION","4003 3030 3028 3036 3101 3004",27,"F","B",101,"STREET","43RD                         ST","2ND                          AV","{'longitude': '-118.3193', 'latitude': '34.0055'}",22725,747,1019,7,12,54
"80",394333,110319201,"2011-08-23","2011-08-17",800,3,"Southwest",311,997,"TRAFFIC COLLISION","",31,"F","H",101,"STREET","BLACKWELDER","HAUSER","{'longitude': '-118.3641', 'latitude': '34.0287'}",23077,666,1119,NA,12,17
"81",156349,161013098,"2016-07-23","2016-07-23",1925,10,"West Valley",1049,997,"TRAFFIC COLLISION","3011 3037 3026 3101 3401 3701 4026",25,"F","H",101,"STREET","WOODLEY                      AV","BURBANK                      BL","{'longitude': '-118.4757', 'latitude': '34.1717'}",19734,2337,1223,NA,3,62
"82",43700,180713234,"2018-07-10","2018-07-10",845,7,"Wilshire",722,997,"TRAFFIC COLLISION","3004 3026 3035 3037 3101 3401 3701 4027",29,"F","W",101,"STREET","BEVERLY","FLORES","{'longitude': '-118.3711', 'latitude': '34.0761'}",23679,462,1082,NA,6,26
"83",466687,101104477,"2010-01-08","2010-01-08",2245,11,"Northeast",1125,997,"TRAFFIC COLLISION","",48,"F","H",101,"STREET","AVENUE 50","LINCOLN                      AV","{'longitude': '-118.2071', 'latitude': '34.1206'}",23673,366,586,NA,11,93
"84",229250,150308697,"2015-03-18","2015-03-18",1410,3,"Southwest",376,997,"TRAFFIC COLLISION","4025 3028 3101 3034 3004",99,"M","O",101,"STREET","MARTIN LUTHER KING","BUDLONG","{'longitude': '-118.3045', 'latitude': '34.0145'}",24027,730,1011,7,14,32
"85",155846,160214525,"2016-07-27","2016-07-26",1740,2,"Rampart",275,997,"TRAFFIC COLLISION","0605 3101 3401 3701 3004 3026 3036",NA,"X","X",101,"STREET","BURLINGTON                   AV","11TH                         ST","{'longitude': '-118.2775', 'latitude': '34.0488'}",22723,575,908,NA,11,8
"86",157742,161514780,"2016-07-14","2016-07-14",1940,15,"N Hollywood",1567,997,"TRAFFIC COLLISION","3011 3037 3034 3028 3101 3401 4026",NA,"M","W",101,"STREET","CAHUENGA                     BL","LANDALE                      ST","{'longitude': '-118.3615', 'latitude': '34.1512'}",8489,342,703,NA,7,5
"87",62400,181507590,"2018-03-10","2018-03-10",1245,15,"N Hollywood",1519,997,"TRAFFIC COLLISION","3004 3037 3026 3101 3401 3701 4026",NA,"F","H",101,"STREET","CLYBOURN                     AV","VANOWEN                      ST","{'longitude': '-118.3637', 'latitude': '34.194'}",8888,172,486,NA,5,14
"88",180946,160107536,"2016-02-14","2016-02-14",450,1,"Central",195,997,"TRAFFIC COLLISION","3101 3401 3701 3004 3036 3029 3026",34,"M","F",101,"STREET","BROADWAY","17TH","{'longitude': '-118.2641', 'latitude': '34.0335'}",23076,693,1291,NA,9,76
"89",195002,151820407,"2015-11-09","2015-11-09",1810,18,"Southeast",1824,997,"TRAFFIC COLLISION","3008 3028 3101 4018",61,"M","B",101,"STREET","100TH                        ST","CENTRAL                      AV","{'longitude': '-118.2541', 'latitude': '33.9461'}",22351,806,1176,7,14,45
"90",41828,181815642,"2018-07-22","2018-07-21",2330,18,"Southeast",1842,997,"TRAFFIC COLLISION","4025 3037 3004 3027 3101 3601",51,"M","H",101,"STREET","FIGUEROA                     ST","108TH                        ST","{'longitude': '-118.2826', 'latitude': '33.9383'}",24355,813,362,7,14,45
"91",254118,141220595,"2014-09-16","2014-09-16",705,12,"77th Street",1248,997,"TRAFFIC COLLISION","3004 3026 3101 4012",25,"M","H",101,"STREET","GAGE                         AV","MENLO                        AV","{'longitude': '-118.2892', 'latitude': '33.9819'}",23675,773,979,7,13,NA
"92",239212,151504315,"2015-01-07","2015-01-05",1400,15,"N Hollywood",1551,997,"TRAFFIC COLLISION","3004 3026 3037 3101 3401 3701 4019",58,"F","W",101,"STREET","RIVERSIDE                    DR","RHODES                       AV","{'longitude': '-118.4031', 'latitude': '34.1576'}",8890,345,1336,17,5,39
"93",292384,130222157,"2013-11-14","2013-11-14",655,2,"Rampart",251,997,"TRAFFIC COLLISION","3101 3401 3701 3003 3026 3036",46,"F","H",101,"STREET","RAMPART                      BL","6TH                          ST","{'longitude': '-118.2813', 'latitude': '34.0624'}",24352,558,884,NA,11,63
